Variable,LASSO_Importance,Short_Description
30158-Symtpom_Neuro-7,0.815330033789157,Loss of smell
32136-vaccine_didyou,0.5433973141639593,Vaccination Status
30153-Symptoms-6,0.44699126051879245,Chills
30159-Symptom_Neuro_Other,0.4157143626459646,Neurological pre-existing
32137-vaccine_avail,0.399694876701542,Vaccination Likeliness to Receive
30154-Symptoms_Resp-3,0.3555934696538825,Cough
30170-Flu_shot,0.16922322233079484,Flu vaccine status
30103-conditionsrisks-20,0.14901501320136756,I do not have any underlying conditions or risk factors
30155-Symptom_Resp_other,0.07413940432746556,Respiratory pre-existing
30166-Prev_exposure-1,0.03295330500854099,No
30081-general_health,0.0,General Health Response
30082-Race-1,0.0,White
30082-Race-2,0.0,Black or African American
30072-Household,0.0,Participant housing/living conditions
30086-Gender-2,0.0,Woman
30086-Gender-3,0.0,Non-Binary
30091-Education,0.0,Education Reached
30090-Birthsex,0.0,Sex at Birth
30100-weight_options,0.0,Unable to provide weight
30101-ace_medication,0.0,ACE medication details
30102-blood_type,0.0,Blood Type
30097-Height_options,0.0,Unable to provide height
30082-Race-4,0.0,American Indian or Alaska Native
30082-Race-5,0.0,Native Hawaiian or Other Pacific Islander
30082-Race-6,0.0,Other
30082-Race-998,0.0,None of the above
30082-Race-999,0.0,Prefer not to answer
30085-Ethnicity,0.0,Ethnicity
30086-Gender-1,0.0,Man
30075-Other_household,0.0,Please enter the number below.
30103-conditionsrisks-2,0.0,Diabetes
30103-conditionsrisks-22,0.0,Chronic kidney disease
30103-conditionsrisks-3,0.0,Hypertension
30103-conditionsrisks-23,0.0,Chronic lung disease
30103-conditionsrisks-5,0.0,Cardiovascular disease
30103-conditionsrisks-6,0.0,Renal disease
30103-conditionsrisks-7,0.0,Liver disease
30103-conditionsrisks-4,0.0,Obesity
30103-conditionsrisks-9,0.0,Current smoker (tobacco)
30103-conditionsrisks-999,0.0,Prefer not to answer
30106-currently_pregnant,0.0,Pregnancy Status
30107-alcohol_consume,0.0,Alcohol Use
30108-employed_currently,0.0,Employment Status
30109-health_professional,0.0,Health Professional Status
30110-essential_worker,0.0,Essential Worker Status
30103-conditionsrisks-8,0.0,Immunosuppressive disease
30112-Insurance,0.0,Insurance Status
30113-Insurance_Plan,0.0,Insurance Plan Type
30118-Blind,0.0,Blind Status
30117-Deaf,0.0,Deaf Status
30120-Walking,0.0,Difficulty Walking
30121-Dressing,0.0,Difficulty Dressing
30122-Errands,0.0,Difficulty with Errands
30119-Concentrating,0.0,Difficulty Concentrating
30103-conditionsrisks-10,0.0,Current substance use
30103-conditionsrisks-13,0.0,"Mental Health conditions, including serious mental illness"
30103-conditionsrisks-15,0.0,Sickle cell disease
30103-conditionsrisks-14,0.0,Asthma
30103-conditionsrisks-16,0.0,Cancer
30103-conditionsrisks-17,0.0,Current Vape Use
30103-conditionsrisks-19,0.0,Other
30082-Race-3,0.0,Asian
